path,lines,qt_widgets,qt_qobject,qt_core,qt_network,qt_qml,sqlite,posix
Plugins/SqlEnterpriseFormatter/formatcreatetable.cpp,269,0,0,3,0,0,0,0
Plugins/SqlEnterpriseFormatter/formatcreatetable.h,64,0,0,2,0,0,0,0
Plugins/SqlEnterpriseFormatter/formatcreatetrigger.cpp,113,0,0,6,0,0,0,0
Plugins/SqlEnterpriseFormatter/formatcreatetrigger.h,39,0,0,2,0,0,0,0
Plugins/SqlEnterpriseFormatter/formatcreatevirtualtable.cpp,110,0,0,1,0,0,0,0
Plugins/SqlEnterpriseFormatter/formatexpr.cpp,311,0,0,5,0,0,0,0
Plugins/SqlEnterpriseFormatter/formatexpr.h,25,0,0,2,0,0,0,0
Plugins/SqlEnterpriseFormatter/formatforeignkey.cpp,79,0,0,1,0,0,0,0
Plugins/SqlEnterpriseFormatter/formatselect.cpp,271,0,0,4,0,0,0,1
Plugins/SqlEnterpriseFormatter/formatstatement.cpp,1152,0,0,48,0,0,0,0
Plugins/SqlEnterpriseFormatter/formatstatement.h,226,0,0,60,0,0,0,0
Plugins/SqlEnterpriseFormatter/formatupdate.cpp,74,0,0,1,0,0,0,0
Plugins/SqlEnterpriseFormatter/formatupsert.cpp,50,0,0,1,0,0,0,0
Plugins/SqlEnterpriseFormatter/formatwindowdefinition.cpp,92,0,0,1,0,0,0,0
Plugins/SqlEnterpriseFormatter/formatwith.cpp,50,0,0,1,0,0,0,0
Plugins/SqlEnterpriseFormatter/formatwith.h,32,0,0,2,0,0,0,0
Plugins/SqlEnterpriseFormatter/sqlenterpriseformatter.cpp,461,0,2,29,0,0,0,0
Plugins/SqlEnterpriseFormatter/sqlenterpriseformatter.h,109,0,1,22,0,0,0,0
Plugins/SqlEnterpriseFormatter/sqlenterpriseformatter.ui,729,49,0,0,0,0,0,0
Plugins/SqlExport/SqlExportCommon.ui,62,5,0,0,0,0,0,0
Plugins/SqlExport/SqlExportQuery.ui,96,9,0,0,0,0,0,0
Plugins/SqlExport/sqlexport.cpp,401,0,0,71,0,0,0,0
Plugins/SqlExport/sqlexport.h,77,0,1,52,0,0,0,0
Plugins/SqlFormatterSimple/SqlFormatterSimple.ui,55,3,0,0,0,0,0,0
Plugins/SqlFormatterSimple/sqlformattersimpleplugin.cpp,59,0,0,2,0,0,0,0
Plugins/SqlFormatterSimple/sqlformattersimpleplugin.h,39,0,2,2,0,0,0,0
Plugins/TclSyntaxHighlighter/tclsyntaxhighlighter.cpp,171,6,0,22,0,0,0,0
Plugins/TclSyntaxHighlighter/tclsyntaxhighlighter.h,51,1,2,6,0,0,0,0
Plugins/XmlExport/XmlExport.ui,152,2,0,0,0,0,0,0
Plugins/XmlExport/xmlexport.cpp,521,0,0,67,0,0,0,0
Plugins/XmlExport/xmlexport.h,85,0,1,58,0,0,0,0
Plugins/ErdEditor/changes/erdchange.cpp,80,0,0,10,0,0,0,0
Plugins/ErdEditor/changes/erdchange.h,118,0,0,13,0,0,0,0
Plugins/ErdEditor/changes/erdchangecolorentity.cpp,30,0,0,3,0,0,0,0
Plugins/ErdEditor/changes/erdchangecolorentity.h,26,0,0,4,0,0,0,0
Plugins/ErdEditor/changes/erdchangecomposite.cpp,77,0,0,9,0,0,0,0
Plugins/ErdEditor/changes/erdchangecomposite.h,32,0,0,9,0,0,0,0
Plugins/ErdEditor/changes/erdchangedeleteconnection.cpp,61,0,0,9,0,0,0,0
Plugins/ErdEditor/changes/erdchangedeleteconnection.h,34,0,0,7,0,0,0,0
Plugins/ErdEditor/changes/erdchangedeleteentity.cpp,71,0,1,8,0,0,0,0
Plugins/ErdEditor/changes/erdchangedeleteentity.h,38,0,0,7,0,0,0,0
Plugins/ErdEditor/changes/erdchangemodifyentity.cpp,64,0,1,9,0,0,0,0
Plugins/ErdEditor/changes/erdchangemodifyentity.h,36,0,0,4,0,0,0,0
Plugins/ErdEditor/changes/erdchangemoveentity.cpp,35,0,1,5,0,0,0,0
Plugins/ErdEditor/changes/erdchangemoveentity.h,29,0,0,7,0,0,0,0
Plugins/ErdEditor/changes/erdchangenewentity.cpp,56,0,1,8,0,0,0,0
Plugins/ErdEditor/changes/erdchangenewentity.h,36,0,0,6,0,0,0,0
Plugins/ErdEditor/changes/erdchangeregistry.cpp,133,0,3,9,0,0,0,0
Plugins/ErdEditor/changes/erdchangeregistry.h,45,0,4,5,0,0,0,0
Plugins/ErdEditor/changes/erdchangeregistrydialog.cpp,174,4,0,6,0,0,0,0
Plugins/ErdEditor/changes/erdchangeregistrydialog.h,52,3,1,2,0,0,0,0
Plugins/ErdEditor/changes/erdchangeregistrydialog.ui,218,10,0,0,0,0,0,0
Plugins/ErdEditor/changes/erdeffectivechange.cpp,100,0,0,13,0,0,0,0
Plugins/ErdEditor/changes/erdeffectivechange.h,50,0,0,15,0,0,0,0
Plugins/ErdEditor/changes/erdeffectivechangemerger.cpp,622,0,2,59,0,0,0,0
Plugins/ErdEditor/changes/erdeffectivechangemerger.h,196,0,0,36,0,0,0,0
Plugins/ErdEditor/layouts/erdlayout.cpp,16,0,0,1,0,0,0,0
Plugins/ErdEditor/layouts/erdlayout.h,19,0,0,3,0,0,0,0
Plugins/ErdEditor/layouts/erdlayoutfdp.cpp,518,0,0,28,0,0,0,0
Plugins/ErdEditor/layouts/erdlayoutfdp.h,15,0,0,1,0,0,0,0
Plugins/ErdEditor/layouts/erdlayoutneato.cpp,374,0,0,18,0,0,0,0
Plugins/ErdEditor/layouts/erdlayoutneato.h,14,0,0,1,0,0,0,0
Plugins/ErdEditor/layouts/erdlayoutplanner.cpp,102,0,0,9,0,0,0,0
Plugins/ErdEditor/layouts/erdlayoutplanner.h,29,0,0,3,0,0,0,0
Plugins/ErdEditor/panel/erdcolumnfkpanel.cpp,17,1,0,0,0,0,0,0
Plugins/ErdEditor/panel/erdcolumnfkpanel.h,18,1,1,0,0,0,0,0
Plugins/ErdEditor/panel/erdconnectionpanel.cpp,282,3,1,18,0,0,0,0
Plugins/ErdEditor/panel/erdconnectionpanel.h,80,4,1,4,0,0,0,0
Plugins/ErdEditor/panel/erdconnectionpanel.ui,211,13,0,0,0,0,0,0
Plugins/ErdEditor/panel/erdtablefkpanel.cpp,17,1,0,0,0,0,0,0
Plugins/ErdEditor/panel/erdtablefkpanel.h,18,1,1,0,0,0,0,0
Plugins/ErdEditor/panel/erdtablewindow.cpp,262,7,3,17,0,0,0,0
Plugins/ErdEditor/panel/erdtablewindow.h,58,1,2,7,0,0,0,0
Plugins/ErdEditor/scene/erdarrowitem.cpp,97,7,0,0,0,0,0,0
Plugins/ErdEditor/scene/erdarrowitem.h,53,2,0,0,0,0,0,0
Plugins/ErdEditor/scene/erdconnection.cpp,378,10,3,9,0,0,0,1
Plugins/ErdEditor/scene/erdconnection.h,87,1,1,3,0,0,0,1
Plugins/ErdEditor/scene/erdcurvyarrowitem.cpp,95,2,0,0,0,0,0,0
Plugins/ErdEditor/scene/erdcurvyarrowitem.h,19,1,0,0,0,0,0,0
Plugins/ErdEditor/scene/erdentity.cpp,868,53,10,24,0,0,0,0
Plugins/ErdEditor/scene/erdentity.h,131,21,3,20,0,0,0,0
Plugins/ErdEditor/scene/erdlinearrowitem.cpp,52,3,0,0,0,0,0,0
Plugins/ErdEditor/scene/erdlinearrowitem.h,21,1,0,0,0,0,0,0
Plugins/ErdEditor/scene/erdscene.cpp,980,9,13,95,0,0,0,0
Plugins/ErdEditor/scene/erdscene.h,223,3,2,48,0,0,0,0
Plugins/ErdEditor/scene/erdsquarearrowitem.cpp,86,2,0,0,0,0,0,0
Plugins/ErdEditor/scene/erdsquarearrowitem.h,23,1,0,0,0,0,0,0
Plugins/ErdEditor/scene/erdview.cpp,725,45,10,16,0,0,0,0
Plugins/ErdEditor/scene/erdview.h,140,6,4,8,0,0,0,0
Letos/cmake/custom_sqlite3.cmake,33,0,0,0,0,0,1,0
Letos/core/CMakeLists.txt,457,0,0,0,0,0,3,0
Letos/core/committable.cpp,42,0,0,2,0,0,0,0
Letos/core/committable.h,28,0,0,4,0,0,0,0
Letos/core/completioncomparer.cpp,485,0,0,23,0,0,0,0
Letos/core/completioncomparer.h,76,0,0,28,0,0,0,0
Letos/core/completionhelper.cpp,1789,0,0,226,0,0,0,0
Letos/core/completionhelper.h,308,0,3,93,0,0,0,0
Letos/core/config_builder.h,92,0,0,3,0,0,0,0
Letos/core/csvformat.cpp,55,0,0,8,0,0,0,0
Letos/core/csvformat.h,33,0,0,12,0,0,0,0
Letos/core/csvserializer.cpp,257,0,0,69,0,0,0,0
Letos/core/csvserializer.h,20,0,0,18,0,0,0,0
Letos/core/datatype.cpp,284,0,1,37,0,0,0,0
Letos/core/datatype.h,84,0,3,28,0,0,0,0
Letos/core/dbattacher.h,122,0,0,4,0,0,0,0
Letos/core/dbobjectorganizer.cpp,836,0,3,92,0,0,0,0
Letos/core/dbobjectorganizer.h,161,0,3,89,0,0,0,0
Letos/core/ddlhistorymodel.cpp,78,0,1,10,0,0,0,0
Letos/core/ddlhistorymodel.h,32,0,2,5,0,0,0,0
Letos/core/expectedtoken.cpp,75,0,0,7,0,0,0,0
Letos/core/expectedtoken.h,109,0,0,10,0,0,0,0
Letos/core/exportworker.cpp,871,0,5,65,0,0,0,0
Letos/core/exportworker.h,68,0,4,38,0,0,0,0
Letos/core/importworker.cpp,202,0,6,14,0,0,0,0
Letos/core/importworker.h,46,0,4,12,0,0,0,0
Letos/core/letos.cpp,500,0,8,24,0,0,0,0
